property_id,prop_type,year_built,is_new_construction,beds,baths_full,baths_half,garage,price,lot_size,building_size,line,neighborhoods,city,county,state_code,postal_code
O1571622999,single_family,2016.0,False,3.0,3,1.0,2,1400000,2175,2325,1556 Clement Ave,"['West End', 'Northern Waterfront']",Alameda,Alameda,CA,94501
O2238360513,condo,1982.0,False,2.0,2,1.0,None,830000,84245,1720,115 Centre Ct,['Bay Farm Island'],Alameda,Alameda,CA,94502
O1649782217,single_family,1941.0,False,2.0,2,,1,1025000,4375,1160,2849 Van Buren St,['East End'],Alameda,Alameda,CA,94501
O1911687261,single_family,1917.0,False,2.0,1,,1,1025000,3800,1277,1627 8th St,['West End'],Alameda,Alameda,CA,94501
O1688203403,single_family,1928.0,False,4.0,2,1.0,None,1900000,5967,2339,1408 Gibbons Dr,['East End'],Alameda,Alameda,CA,94501
O2911000562,mobile,1970.0,False,2.0,2,,None,785000,None,1708,2394 Mariner Square Dr Unit B16,None,Alameda,Alameda,CA,94501
O1825938327,single_family,1896.0,False,2.0,1,,None,728000,2700,1007,1813 Minturn St,['East End'],Alameda,Alameda,CA,94501
O2106364544,condo,1964.0,False,4.0,2,1.0,2,1305000,3538,1728,302 Laguna Vis,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O2127643398,condo,1966.0,False,2.0,2,,1,575000,73181,1090,2137 Otis Dr Apt 202,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O2119407624,condo,1973.0,False,2.0,2,1.0,2,925000,36789,1550,2055 Whitehall Pl,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O1980815584,single_family,1953.0,False,2.0,1,,1,900000,6050,1278,506 Fitchburg Ave,['Bay Farm Island'],Alameda,Alameda,CA,94502
O1912246250,single_family,1906.0,False,4.0,2,,None,1500001,3528,2314,1423 Saint Charles St,['West End'],Alameda,Alameda,CA,94501
O2068316017,condo,1974.0,False,2.0,1,1.0,1,715000,247339,1060,2101 Shoreline Dr Apt 219,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O1174305383,single_family,2007.0,False,4.0,3,,2,1387000,4721,2361,2421 Glenview St,"['West End', 'Bayport']",Alameda,Alameda,CA,94501
O2212423417,condo,1970.0,False,1.0,1,,None,420000,73424,701,1311 Webster St Apt E110,['West End'],Alameda,Alameda,CA,94501
O1894619459,multi_family,1903.0,False,6.0,3,,None,988000,2485,2144,1516 Buena Vista Ave,['West End'],Alameda,Alameda,CA,94501
O1674936728,single_family,1917.0,False,2.0,1,,None,1225000,3388,1153,3259 Sterling Ave,['East End'],Alameda,Alameda,CA,94501
O1780511143,condo,1965.0,False,2.0,1,,None,530000,9450,849,2000 Central Ave Apt L,"['East End', 'Bronze Coast']",Alameda,Alameda,CA,94501
O1103721944,condo,1964.0,False,2.0,2,,None,670000,71939,1007,339 Broadway Apt 114,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O2098128771,condo,1968.0,False,2.0,1,,None,585000,138520,835,2035 Otis Dr Apt C,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O2018379654,single_family,1979.0,False,3.0,2,1.0,2,1525000,3549,1962,42 Steuben Bay,['Bay Farm Island'],Alameda,Alameda,CA,94502
O9256782582,multi_family,1901.0,False,7.0,5,,2,1750000,7180,3882,1613 Alameda Ave,['West End'],Alameda,Alameda,CA,94501
O1172665527,condo,2017.0,False,2.0,2,,2,463670,None,1066,2667 5th St,"['West End', 'Alameda Landing']",Alameda,Alameda,CA,94501
O1023132676,single_family,1948.0,False,3.0,1,1.0,1,1205000,5060,1453,2949 Marina Dr,None,Alameda,Alameda,CA,94501
O1785132120,condo,1969.0,False,2.0,1,1.0,None,702000,10383,1120,2115 Central Ave Apt 8,['East End'],Alameda,Alameda,CA,94501
O2095333825,single_family,1962.0,False,3.0,2,,2,1260000,5300,1665,616 Sandalwood Isle,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O9164742263,single_family,1880.0,False,4.0,3,,2,1300000,3300,1592,1707 Broadway,['East End'],Alameda,Alameda,CA,94501
O2035000264,condo,1967.0,False,3.0,1,1.0,2,740000,1500,1280,1044 Verdemar Dr,['Bay Farm Island'],Alameda,Alameda,CA,94502
O1866595470,single_family,1960.0,False,3.0,2,,2,880000,3392,1258,1405 Stanton St,['West End'],Alameda,Alameda,CA,94501
O2119369685,single_family,2007.0,False,4.0,3,1.0,3,1525000,5185,3453,2361 Tuttle Ln,"['West End', 'Bayport']",Alameda,Alameda,CA,94501
O2230720995,condo,1970.0,False,2.0,1,,None,510000,36939,850,1327 Webster St Apt B111,['West End'],Alameda,Alameda,CA,94501
O1173522643,condo,2017.0,False,4.0,3,,2,1261000,None,2524,2675 5th St,"['West End', 'Alameda Landing']",Alameda,Alameda,CA,94501
O9396842947,condo,1968.0,False,3.0,1,1.0,2,800000,1500,1280,1015 Via Aliso,['Bay Farm Island'],Alameda,Alameda,CA,94502
O2268955852,single_family,1988.0,False,4.0,3,,2,2065000,6700,2550,94 Kilkenny Pl,['Bay Farm Island'],Alameda,Alameda,CA,94502
O1741083776,single_family,1938.0,False,2.0,2,,1,1310000,3800,1620,2425 Roosevelt Dr,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O2173815900,condo,1973.0,False,2.0,2,1.0,2,860000,146361,1475,1223 Porta Ballena,['West End'],Alameda,Alameda,CA,94501
O2159990236,condo,1970.0,False,2.0,2,,1,860000,39353,1360,1001 Shoreline Dr Apt 203,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O1524755283,condo,1964.0,False,2.0,2,,None,635000,71939,981,339 Broadway Apt 104,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O2246372690,condo,1970.0,False,2.0,1,,1,530000,46861,849,1321 Webster St Apt D101,['West End'],Alameda,Alameda,CA,94501
O1742947073,single_family,1925.0,False,1.0,1,,None,672000,2145,798,2418 Marti Rae Ct,['East End'],Alameda,Alameda,CA,94501
O9564860556,multi_family,1890.0,False,4.0,3,,3,1100000,4208,2123,217 Pacific Ave,['West End'],Alameda,Alameda,CA,94501
O2866114270,single_family,2004.0,False,4.0,3,,2,1260000,3358,2361,408 Hollister Ave,"['West End', 'Bayport']",Alameda,Alameda,CA,94501
O2227217996,single_family,1987.0,False,4.0,3,,2,1675000,5400,2300,750 Limerick Ln,['Bay Farm Island'],Alameda,Alameda,CA,94502
O2202100751,condo,1972.0,False,1.0,1,,1,470000,133752,725,960 Shorepoint Ct Apt 205,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O2142065317,condo,1972.0,False,1.0,1,,1,435000,133752,640,960 Shorepoint Ct Apt 310,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O2196808987,single_family,1984.0,False,3.0,2,,2,1435000,5845,1522,172 Brighton Rd,['Bay Farm Island'],Alameda,Alameda,CA,94502
O1684178682,single_family,1930.0,False,3.0,3,,2,2025000,6336,2347,1533 Gibbons Dr,['East End'],Alameda,Alameda,CA,94501
O1014713081,single_family,2015.0,False,5.0,4,1.0,2,1455000,3618,3336,2760 Bette St,"['West End', 'Alameda Landing']",Alameda,Alameda,CA,94501
O2203740452,condo,1969.0,False,3.0,2,1.0,2,1502000,2356,2100,1207 Ballena Blvd,['West End'],Alameda,Alameda,CA,94501
O2149034049,condo,1972.0,False,1.0,1,,1,435000,133752,770,950 Shorepoint Ct Apt 112,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O1876843604,single_family,1900.0,False,3.0,2,1.0,1,1480000,3000,1572,1308 9th St,"['West End', 'Gold Coast']",Alameda,Alameda,CA,94501
O1694799475,single_family,1920.0,False,2.0,1,,1,1005000,4800,1197,1219 Versailles Ave,['East End'],Alameda,Alameda,CA,94501
O2078713215,condo,1966.0,False,2.0,2,,1,550000,73180,1100,2137 Otis Dr Apt 104,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O1014862144,single_family,2015.0,False,4.0,3,1.0,2,1330000,2655,2510,2766 Grant Ln,"['West End', 'Alameda Landing']",Alameda,Alameda,CA,94501
O1999634885,condo,1972.0,False,4.0,2,1.0,2,911000,1456,1557,3163 Bayview Dr,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O1793479691,single_family,1900.0,False,2.0,1,,None,905000,1980,1138,2446 San Jose Ave,['East End'],Alameda,Alameda,CA,94501
O2129730290,single_family,1965.0,False,4.0,3,,None,1780000,6000,2544,301 Coral Reef Rd,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O9430484269,single_family,1908.0,False,4.0,2,,None,1300000,4256,1686,803 Haight Ave,['West End'],Alameda,Alameda,CA,94501
O1656862746,single_family,1905.0,False,2.0,1,,None,925000,3000,1008,1306 Mound St,['East End'],Alameda,Alameda,CA,94501
O1940717430,single_family,1910.0,False,3.0,2,1.0,1,1275000,4256,1849,811 Haight Ave,['West End'],Alameda,Alameda,CA,94501
O2174747549,condo,1971.0,False,1.0,1,1.0,1,415000,101260,773,955 Shorepoint Ct Apt 100,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O2224907507,single_family,1979.0,False,3.0,2,,2,1180000,3830,1503,170 Inverness Way,['Bay Farm Island'],Alameda,Alameda,CA,94502
O1884893048,single_family,1900.0,False,3.0,2,,1,1143000,3600,1395,1216 Santa Clara Ave,['West End'],Alameda,Alameda,CA,94501
O1692526253,single_family,1922.0,False,2.0,1,,None,1100000,2652,928,1032 Doris Ct,['East End'],Alameda,Alameda,CA,94501
O2251738986,condo,1970.0,False,1.0,1,,None,440000,51065,701,1333 Webster St Apt A108,['West End'],Alameda,Alameda,CA,94501
O1392075964,condo,1940.0,False,2.0,1,,None,650000,900,900,1712 Third St Unit 305,['West End'],Alameda,Alameda,CA,94501
O1796386434,single_family,1906.0,False,4.0,3,1.0,None,1500000,5200,2844,1807 Elm St,['East End'],Alameda,Alameda,CA,94501
O1235512874,single_family,2005.0,False,5.0,3,,2,1370000,3760,2805,261 Hollister Ave,"['West End', 'Bayport']",Alameda,Alameda,CA,94501
O2537770563,condo,1988.0,False,2.0,2,,1,858000,15246,1292,6 Regulus Ct,"['West End', 'Marina Village']",Alameda,Alameda,CA,94501
